id,dataset_index,competition_name,summary_file_path
dataset-135-summary,135,Click-Through Rate Prediction for Mobile Ads,datasets/135/problem_summary.md
dataset-307-summary,307,Binary Classification of Malware Infection Risk,datasets/307/problem_summary.md
dataset-551-summary,551,Predicting Parkinson's Disease Progression with Protein and Peptide Data,datasets/551/problem_summary.md
dataset-61-summary,61,Prescription Volume Prediction,datasets/61/problem_summary.md
dataset-95-summary,95,Solar Energy Production Forecasting with Weather Models,datasets/95/problem_summary.md
dataset-338-summary,338,Multiclass Classification of Diabetic Retinopathy Severity from Retinal Images,datasets/338/problem_summary.md
dataset-556-summary,556,3D Scene Reconstruction from 2D Images,datasets/556/problem_summary.md
dataset-300-summary,300,20 Newsgroups Ciphertext Challenge,datasets/300/problem_summary.md
dataset-132-summary,132,Seizure Prediction from Intracranial EEG Data,datasets/132/problem_summary.md
dataset-59-summary,59,Traveling Santa Problem with Disjoint Paths,datasets/59/problem_summary.md
dataset-569-summary,569,Predicting CO2 Emissions in Rwanda Using Satellite Data,datasets/569/problem_summary.md
dataset-92-summary,92,Webpage Evergreen Classification Challenge,datasets/92/problem_summary.md
dataset-66-summary,66,Predicting Parkinson's Disease Progression with Smartphone Data,datasets/66/problem_summary.md
dataset-336-summary,336,Pneumothorax Segmentation in Chest X-rays,datasets/336/problem_summary.md
dataset-104-summary,104,Binary Image Classification of Dogs vs. Cats,datasets/104/problem_summary.md
dataset-560-summary,560,Extracting Tabular Data from Scientific Graphs for Accessibility,datasets/560/problem_summary.md
dataset-594-summary,594,Solving Geometric Permutation Puzzles with Minimal Moves,datasets/594/problem_summary.md
dataset-309-summary,309,Histopathologic Cancer Detection,datasets/309/problem_summary.md
dataset-50-summary,50,Predicting Mobile Visitor Product Interest from Search Behavior,datasets/50/problem_summary.md
dataset-68-summary,68,Predicting Hospital Admissions Using Historical Claims Data,datasets/68/problem_summary.md
dataset-593-summary,593,Binary Classification of AI-Generated vs. Student-Written Essays,datasets/593/problem_summary.md
dataset-567-summary,567,Identifying Contrails in Satellite Images to Mitigate Global Warming,datasets/567/problem_summary.md
dataset-103-summary,103,3D Bin Packing Optimization for Santa's Sleigh,datasets/103/problem_summary.md
dataset-331-summary,331,Toxicity Classification with Unintended Bias Mitigation,datasets/331/problem_summary.md
dataset-57-summary,57,Predicting Customer Retention in Insurance Policies,datasets/57/problem_summary.md
dataset-558-summary,558,Ink Detection in 3D X-ray Scans of Ancient Papyrus Scrolls,datasets/558/problem_summary.md
dataset-168-summary,168,Coupon Purchase Recommendation for E-Commerce,datasets/168/problem_summary.md
dataset-391-summary,391,ALASKA2 Image Steganalysis,datasets/391/problem_summary.md
dataset-533-summary,533,Ordinal Regression for Wine Quality Prediction,datasets/533/problem_summary.md
dataset-365-summary,365,NCAA Women's Basketball Tournament Outcome Prediction,datasets/365/problem_summary.md
dataset-157-summary,157,Taxi Trip Time Prediction Based on Partial Trajectories,datasets/157/problem_summary.md
dataset-150-summary,150,Predicting Sales of Weather-Sensitive Products During Extreme Weather Events,datasets/150/problem_summary.md
dataset-362-summary,362,Multi-label Classification for Subjective Q&A Quality Scoring,datasets/362/problem_summary.md
dataset-534-summary,534,Regression with a Tabular Paris Housing Price Dataset,datasets/534/problem_summary.md
dataset-396-summary,396,SIIM-ISIC Melanoma Classification,datasets/396/problem_summary.md
dataset-159-summary,159,Predicting Search Results Relevance for eCommerce,datasets/159/problem_summary.md
dataset-32-summary,32,Predicting US Corporate Bond Trade Prices,datasets/32/problem_summary.md
dataset-502-summary,502,Smartphone Decimeter-Level GNSS Positioning Challenge,datasets/502/problem_summary.md
dataset-166-summary,166,Predicting Industrial Tube Assembly Prices,datasets/166/problem_summary.md
dataset-354-summary,354,Energy Consumption Prediction for Buildings,datasets/354/problem_summary.md
dataset-192-summary,192,Predicting Customer Satisfaction for Santander Bank,datasets/192/problem_summary.md
